Event label,Country,Date,Total events,Exist in DW
RA-EN-20000001,Netherlands,2018-03-02,1,#N/A
RA-EN-20000001,Netherlands,2018-04-19,1,#N/A
RA-EN-20003002,Denmark,2018-05-23,1,RA-EN-20003002
RA-EN-20003002,South Africa,2018-05-23,3,RA-EN-20003002
RA-EN-20003002,United Kingdom,2018-05-23,2,RA-EN-20003002
RA-EN-20003002,United Kingdom,2018-05-24,1,RA-EN-20003002
RA-EN-20003002,United States,2018-05-23,1,RA-EN-20003002
RA-EN-20003002,United States,2018-05-24,1,RA-EN-20003002
RA-EN-20006130,Australia,2018-01-01,1,RA-EN-20006130
RA-EN-20006131,South Africa,2018-01-01,1,RA-EN-20006131
RA-EN-20006132,India,2018-01-01,1,RA-EN-20006132
RA-EN-20006133,Australia,2018-01-01,1,RA-EN-20006133
RA-EN-20006134,Australia,2018-01-01,1,RA-EN-20006134
RA-EN-20006135,United Kingdom,2018-01-01,1,RA-EN-20006135
RA-EN-20006136,United Kingdom,2018-01-01,1,RA-EN-20006136
RA-EN-20006137,United Kingdom,2018-01-01,1,RA-EN-20006137
RA-EN-20006138,United Kingdom,2018-01-01,1,RA-EN-20006138
RA-EN-20006139,United Kingdom,2018-01-01,1,RA-EN-20006139
RA-EN-20006140,South Africa,2018-01-01,1,RA-EN-20006140
RA-EN-20006141,United Kingdom,2018-01-01,1,RA-EN-20006141
RA-EN-20006142,United Kingdom,2018-01-01,1,RA-EN-20006142
RA-EN-20006143,United Kingdom,2018-01-01,1,RA-EN-20006143
RA-EN-20006144,United States,2018-01-01,1,RA-EN-20006144
RA-EN-20006145,United States,2018-01-01,1,RA-EN-20006145
RA-EN-20006146,United Kingdom,2018-01-01,1,RA-EN-20006146
RA-EN-20006147,United States,2018-01-01,1,RA-EN-20006147
RA-EN-20006148,United Kingdom,2018-01-01,1,RA-EN-20006148
RA-EN-20006149,United States,2018-01-01,1,RA-EN-20006149
RA-EN-20006150,United Kingdom,2018-01-01,1,#N/A
RA-EN-20006151,United Kingdom,2018-01-01,1,RA-EN-20006151
RA-EN-20006152,Australia,2018-01-01,1,RA-EN-20006152
RA-EN-20006153,United States,2018-01-01,1,#N/A
RA-EN-20006154,Canada,2018-01-02,1,RA-EN-20006154
RA-EN-20006155,United States,2018-01-02,1,RA-EN-20006155
RA-EN-20006156,Australia,2018-01-02,1,RA-EN-20006156
RA-EN-20006157,Malaysia,2018-01-02,1,RA-EN-20006157
RA-EN-20006159,Australia,2018-01-02,1,RA-EN-20006159
RA-EN-20006160,United States,2018-01-02,1,RA-EN-20006160
RA-EN-20006161,United States,2018-01-02,1,RA-EN-20006161
RA-EN-20006162,India,2018-01-02,1,RA-EN-20006162
RA-EN-20006163,Australia,2018-01-02,1,RA-EN-20006163
RA-EN-20006164,Australia,2018-01-02,1,RA-EN-20006164
RA-EN-20006165,United Kingdom,2018-01-02,1,RA-EN-20006165
RA-EN-20006166,United Kingdom,2018-01-02,1,RA-EN-20006166
